Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
153.0,158.87111700638144,141.73902278838824,176.00321122437464,2015-06-10 21:00:00-04:00
153.0,158.2861015436794,141.15387944922645,175.41832363813234,2015-06-10 22:00:00-04:00
152.0,157.80064832134752,140.667546580016,174.93375006267905,2015-06-10 23:00:00-04:00
152.0,156.62133480787577,139.49022060336205,173.7524490123895,2015-06-11 00:00:00-04:00
151.0,156.60792985817204,139.47799401817952,173.73786569816457,2015-06-11 01:00:00-04:00
152.0,156.81815909214134,139.6893112216501,173.9470069626326,2015-06-11 02:00:00-04:00
151.0,156.31603694885894,139.18743195470802,173.44464194300986,2015-06-11 03:00:00-04:00
149.0,146.67746080240468,129.54858110025478,163.80634050455458,2015-06-11 04:00:00-04:00
150.0,117.45852182425742,100.32929086245349,134.58775278606134,2015-06-11 05:00:00-04:00
150.0,149.42699430667858,132.29814545278353,166.55584316057363,2015-06-11 06:00:00-04:00
150.0,155.30698528876096,138.177843963297,172.43612661422492,2015-06-11 07:00:00-04:00
153.0,157.8582377432801,140.72827599493277,174.98819949162746,2015-06-11 08:00:00-04:00
159.0,160.01454127752646,142.88396925289928,177.14511330215365,2015-06-11 09:00:00-04:00
174.0,161.92542511896502,144.79385583157153,179.0569944063585,2015-06-11 10:00:00-04:00
156.0,162.2078868315919,145.07415321980375,179.34162044338007,2015-06-11 11:00:00-04:00
174.0,164.24491510629855,147.1098468125779,181.3799834000192,2015-06-11 12:00:00-04:00
179.0,164.57938935833576,147.4450934641986,181.7136852524729,2015-06-11 13:00:00-04:00
181.0,165.61381591691253,148.4799508532988,182.74768098052627,2015-06-11 14:00:00-04:00
163.0,165.68873266322626,148.55572620898397,182.82173911746855,2015-06-11 15:00:00-04:00
165.0,164.95062950650419,147.8167028271328,182.08455618587558,2015-06-11 16:00:00-04:00
173.0,164.34598028320076,147.2132649780037,181.4786955883978,2015-06-11 17:00:00-04:00
174.0,163.46839517286085,146.33386143908285,180.60292890663885,2015-06-11 18:00:00-04:00
165.0,162.91292778736815,145.77808763317444,180.04776794156186,2015-06-11 19:00:00-04:00
166.0,161.75259466538475,144.62176980307078,178.88341952769872,2015-06-11 20:00:00-04:00
154.0,160.5210282418868,143.38981423109135,177.65224225268224,2015-06-11 21:00:00-04:00
160.0,159.3381355652206,142.2087959083636,176.46747522207758,2015-06-11 22:00:00-04:00
154.0,158.73585829553525,141.6066404298142,175.8650761612563,2015-06-11 23:00:00-04:00
154.0,158.55579066725622,141.42912616312236,175.68245517139007,2015-06-12 00:00:00-04:00
155.0,157.75583675495275,140.6291238491629,174.8825496607426,2015-06-12 01:00:00-04:00
155.0,158.6481387472237,141.52168377022727,175.77459372422013,2015-06-12 02:00:00-04:00
152.0,156.4381893321303,139.31163676684713,173.56474189741346,2015-06-12 03:00:00-04:00
152.0,156.02903484229327,138.902461519117,173.15560816546954,2015-06-12 04:00:00-04:00
151.0,154.76371892047325,137.637385440883,171.8900524000635,2015-06-12 05:00:00-04:00
151.0,155.75760977908897,138.63133800401374,172.8838815541642,2015-06-12 06:00:00-04:00
151.0,155.18159555708547,138.05496385881867,172.30822725535228,2015-06-12 07:00:00-04:00
153.0,157.88020972604482,140.75037859260232,175.01004085948733,2015-06-12 08:00:00-04:00
150.0,159.03641327812161,141.90627650990461,176.1665500463386,2015-06-12 09:00:00-04:00
165.0,160.9146528601736,143.78592754695515,178.04337817339203,2015-06-12 10:00:00-04:00
159.0,161.33379750364483,144.2030848263514,178.46451018093828,2015-06-12 11:00:00-04:00
158.0,161.67504919914367,144.54384755847025,178.8062508398171,2015-06-12 12:00:00-04:00
158.0,161.62331332930034,144.49231686897457,178.75430978962612,2015-06-12 13:00:00-04:00
161.0,161.95780384887013,144.8253893676217,179.09021833011855,2015-06-12 14:00:00-04:00
172.0,163.61705539438648,146.47716176713467,180.7569490216383,2015-06-12 15:00:00-04:00
174.0,164.29379917912976,147.1591451329445,181.42845322531502,2015-06-12 16:00:00-04:00
161.0,163.4011155348062,146.26883031087223,180.53340075874016,2015-06-12 17:00:00-04:00
161.0,163.5761358649527,146.44348095166436,180.70879077824105,2015-06-12 18:00:00-04:00
161.0,162.2418986055254,145.11215634149005,179.37164086956074,2015-06-12 19:00:00-04:00
155.0,161.63355790140076,144.5062729319518,178.76084287084973,2015-06-12 20:00:00-04:00
153.0,160.580609333335,143.45320812513168,177.7080105415383,2015-06-12 21:00:00-04:00
154.0,160.87570344346238,143.74809279919876,178.003314087726,2015-06-12 22:00:00-04:00
154.0,160.35611691436242,143.22686202758993,177.4853718011349,2015-06-12 23:00:00-04:00
153.0,160.31255792238417,143.18455573560723,177.4405601091611,2015-06-13 00:00:00-04:00
152.0,159.54648232182467,142.41933037373568,176.67363426991366,2015-06-13 01:00:00-04:00
155.0,160.11840174467963,142.99146101643376,177.2453424729255,2015-06-13 02:00:00-04:00
153.0,158.42644148876775,141.29940872159895,175.55347425593655,2015-06-13 03:00:00-04:00
